CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000032934812WB,,dia_util,1.23,1.38,0.3,-0.52,-0.52,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032934971DD,,dia_util,2.31,2.57,0.3,-0.88,-0.88,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032934982DC,,dia_util,1.07,1.19,0.3,-0.42,-0.42,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935074JC,,dia_util,1.89,2.12,0.3,-0.77,-0.77,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935119SL,,dia_util,1.92,2.14,0.3,-0.74,-0.74,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935154VP,,dia_util,2.84,3.22,0.32,-1.19,-1.19,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935187HH,,dia_util,2.4,2.7,0.3,-0.98,-0.98,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935278EV,,dia_util,0.72,0.8,0.3,-0.27,-0.27,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935314RF,,dia_util,3.96,4.5,0.45,-1.2,-1.2,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935347WV,,dia_util,1.71,1.64,0.3,0.24,0.24,normal,acima,alta,43,histórico dia_util,2.0
PT0002000032935393GV,,dia_util,1.38,1.54,0.3,-0.53,-0.53,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935416MV,,dia_util,1.27,1.44,0.3,-0.57,-0.57,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935473PM,,dia_util,1.83,2.04,0.3,-0.69,-0.69,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935633SG,,dia_util,1.34,1.48,0.3,-0.49,-0.49,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935688VJ,,dia_util,2.43,2.61,0.3,-0.61,-0.61,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935724LA,,dia_util,0.6,0.68,0.3,-0.24,-0.24,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936135ZT,,dia_util,0.76,0.88,0.3,-0.39,-0.39,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936179SK,,dia_util,1.16,1.27,0.3,-0.34,-0.34,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936192QB,,dia_util,1.21,1.35,0.3,-0.45,-0.45,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936226VE,,dia_util,2.08,2.32,0.3,-0.83,-0.83,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936306KX,2.0,dia_util,2.11,2.36,0.3,-0.81,-0.81,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936341EE,,dia_util,2.92,3.38,0.69,-0.66,-0.66,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936363TK,,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936385RC,,dia_util,3.1,3.49,0.35,-1.14,-1.14,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936421AX,,dia_util,1.82,1.86,0.3,-0.15,-0.15,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936465MP,,dia_util,2.15,2.34,0.3,-0.64,-0.64,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033074862LZ,0.0,dia_util,8.96,8.56,1.19,0.33,0.33,normal,acima,alta,48,histórico dia_util,2.0
