CPE,cluster,tipo_dia,consumo_real,consumo_habitual,std,z_score,z_real,veredicto,direcao,confianca,n_dias_tipo,fonte_baseline,threshold
PT0002000032934812WB,,dia_util,1.23,1.38,0.3,-0.5,-0.5,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032934971DD,,dia_util,2.3,2.57,0.3,-0.89,-0.89,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032934982DC,,dia_util,1.08,1.19,0.3,-0.39,-0.39,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935074JC,,dia_util,1.9,2.12,0.3,-0.74,-0.74,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935119SL,,dia_util,1.93,2.14,0.3,-0.7,-0.7,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935154VP,,dia_util,2.86,3.22,0.32,-1.13,-1.13,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935187HH,,dia_util,2.41,2.7,0.3,-0.95,-0.95,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935278EV,,dia_util,0.72,0.8,0.3,-0.27,-0.27,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935314RF,,dia_util,3.99,4.5,0.45,-1.12,-1.12,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935347WV,,dia_util,1.42,1.65,0.3,-0.76,-0.76,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935393GV,,dia_util,1.38,1.54,0.3,-0.52,-0.52,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935416MV,,dia_util,1.27,1.44,0.3,-0.57,-0.57,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935473PM,,dia_util,1.84,2.04,0.3,-0.67,-0.67,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935633SG,,dia_util,1.35,1.48,0.3,-0.46,-0.46,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935688VJ,,dia_util,2.42,2.61,0.3,-0.66,-0.66,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032935724LA,,dia_util,0.61,0.68,0.3,-0.23,-0.23,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936135ZT,,dia_util,0.77,0.88,0.3,-0.37,-0.37,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936179SK,,dia_util,1.16,1.27,0.3,-0.34,-0.34,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936192QB,,dia_util,1.22,1.35,0.3,-0.43,-0.43,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936226VE,,dia_util,2.02,2.33,0.3,-1.02,-1.02,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936306KX,2.0,dia_util,2.13,2.36,0.3,-0.77,-0.77,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936341EE,,dia_util,2.93,3.38,0.69,-0.64,-0.64,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936363TK,,dia_util,0.0,0.0,0.3,0.0,0.0,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936385RC,,dia_util,3.11,3.49,0.35,-1.09,-1.09,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936421AX,,dia_util,1.82,1.86,0.3,-0.16,-0.16,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000032936465MP,,dia_util,2.11,2.35,0.3,-0.77,-0.77,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033074862LZ,0.0,dia_util,9.0,8.56,1.19,0.37,0.37,normal,acima,alta,48,histórico dia_util,2.0
PT0002000033137461GF,,dia_util,1.44,1.6,0.3,-0.53,-0.53,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033143974BB,,dia_util,1.99,2.3,0.3,-1.02,-1.02,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033143996NX,,dia_util,0.73,0.81,0.3,-0.25,-0.25,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033144009JT,,dia_util,1.29,1.44,0.3,-0.49,-0.49,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033173784LJ,,dia_util,2.74,3.05,0.3,-1.01,-1.01,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033173829KN,,dia_util,1.25,1.49,0.3,-0.79,-0.79,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033173831KZ,,dia_util,1.71,1.86,0.3,-0.53,-0.53,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033173911WW,,dia_util,1.31,1.47,0.3,-0.52,-0.52,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033173944AN,,dia_util,0.71,0.83,0.3,-0.41,-0.41,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033173966GB,,dia_util,1.08,1.24,0.3,-0.54,-0.54,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174003YW,,dia_util,1.69,1.87,0.3,-0.62,-0.62,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174036FN,,dia_util,0.62,0.71,0.3,-0.3,-0.3,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174069PE,,dia_util,2.69,2.98,0.3,-0.98,-0.98,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174093XT,,dia_util,1.12,1.25,0.3,-0.43,-0.43,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174138BE,,dia_util,0.81,0.9,0.3,-0.31,-0.31,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174149NX,,dia_util,1.6,1.78,0.3,-0.61,-0.61,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174151NN,,dia_util,1.45,1.64,0.3,-0.63,-0.63,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174173JB,,dia_util,1.74,1.98,0.3,-0.8,-0.8,normal,abaixo,alta,43,histórico dia_util,2.0
PT0002000033174184JE,,dia_util,3.25,3.52,0.35,-0.76,-0.76,normal,abaixo,alta,43,histórico dia_util,2.0
